do,du,did,dId,u->Id
mourn,m$n,mourned,m$nd,NULL->d
prod,prQd,prodded,prQ-dId,NULL->Id
vibrate,v2br1t,vibrated,v2-br1-tId,NULL->Id
waver,w1v3,wavered,w1-v3d,NULL->d
bath,b{T,bathed,b1Dd,{T->1Dd
broaden,br$d@n,broadened,br$-d@nd,NULL->d
detest,dItEst,detested,dI-tE-stId,NULL->Id
disregard,dIsrIgQrd,disregarded,dIs-rI-gQr-dId,NULL->Id
eye,2,eyed,2d,NULL->d
fuss,fVs,fussed,fVst,NULL->t
growl,gr6l,growled,gr6ld,NULL->d
overhear,5v@hir,overheard,5-v@-h3d,ir->3d
sketch,skEJ,sketched,skEJt,NULL->t
sneak,snik,sneaked,snikt,NULL->t
fan,f{n,fanned,f{nd,NULL->d
glimpse,glImps,glimpsed,glImpst,NULL->t
heighten,h2t@n,heightened,h2-t@nd,NULL->d
nurture,n3J3,nurtured,n3-J3d,NULL->d
panic,p{nIk,panicked,p{-nIkt,NULL->t
safeguard,s1fgQrd,safeguarded,s1f-gQr-dId,NULL->Id
shade,S1d,shaded,S1-dId,NULL->Id
affiliate,@fIlI1t,affiliated,@-fI-lI-1-tId,NULL->Id
bound,b6nd,bounded,b6n-dId,NULL->Id
brew,bru,brewed,brud,NULL->d
diagnose,d2@gn5z,diagnosed,d2-@g-n5zd,NULL->d
differentiate,dIf@rEnSI1t,differentiated,dI-f@-rEn-SI-1-tId,NULL->Id
grease,griz,greased,grizd,NULL->d
hack,h{k,hacked,h{kt,NULL->t
hypnotize,hIpn@t2z,hypnotized,hIp-n@-t2zd,NULL->d
materialize,m@tirrirl2z,materialized,m@-tir-rir-l2zd,NULL->d
smack,sm{k,smacked,sm{kt,NULL->t
stone,st5n,stoned,st5nd,NULL->d
succumb,s@kVm,succumbed,s@-kVmd,NULL->d
thunder,TVnd3,thundered,TVn-d3d,NULL->d
bar,bQrr,barred,bQrd,NULL->d
brace,br1s,braced,br1st,NULL->t
chain,J1n,chained,J1nd,NULL->d
channel,J{n@l,channelled,J{-n@ld,NULL->d
erupt,IrVpt,erupted,I-rVp-tId,NULL->Id
prosper,prQsp3,prospered,prQ-sp3d,NULL->d
rival,r2v@l,rivalled,r2-v@ld,NULL->d
stiffen,stIf@n,stiffened,stI-f@nd,NULL->d
court,k$t,courted,k$-tId,NULL->Id
deem,dim,deemed,dimd,NULL->d
draft,dr{ft,drafted,dr{f-tId,NULL->Id
embed,ImbEd,embedded,Im-bE-dId,NULL->Id
radiate,r1dI1t,radiated,r1-dI-1-tId,NULL->Id
rejoice,rI_4s,rejoiced,rI-_4st,NULL->t
weld,wEld,welded,wEl-dId,NULL->Id
claw,kl$,clawed,kl$d,NULL->d
converge,k@nv3_,converged,k@n-v3_d,NULL->d
field,fild,fielded,fil-dId,NULL->Id
grill,grIl,grilled,grIld,NULL->d
insulate,InsjUl1t,insulated,In-sjU-l1-tId,NULL->Id
phase,f1z,phased,f1zd,NULL->d
strap,str{p,strapped,str{pt,NULL->t
affirm,@f3m,affirmed,@-f3md,NULL->d
astound,@st6nd,astounded,@-st6n-dId,NULL->Id
coach,k5J,coached,k5Jt,NULL->t
console,k@ns5l,consoled,k@n-s5ld,NULL->d
dismantle,dIsm{nt@l,dismantled,dIs-m{n-t@ld,NULL->d
mill,mIl,milled,mIld,NULL->d
sling,slIN,slung,slVN,I->V
strew,stru,strewed,strud,NULL->d
surge,s3_,surged,s3_d,NULL->d
animate,{nIm1t,animated,{-nI-m1-tId,NULL->Id
bottle,bQt@l,bottled,bQ-t@ld,NULL->d
bustle,bVs@l,bustled,bV-s@ld,NULL->d
colour,kVl3,coloured,kV-l3d,NULL->d
mop,mQp,mopped,mQpt,NULL->t
price,pr2s,priced,pr2st,NULL->t
rake,r1k,raked,r1kt,NULL->t
smuggle,smVg@l,smuggled,smV-g@ld,NULL->d
swap,swQp,swapped,swQpt,NULL->t
yearn,j3n,yearned,j3nd,NULL->d
afflict,@flIkt,afflicted,@-flIk-tId,NULL->Id
detail,dit1l,detailed,di-t1ld,NULL->d
perpetuate,p@pEJU1t,perpetuated,p@-pE-JU-1-tId,NULL->Id
arm,Qrm,armed,Qrmd,NULL->d
border,b$d3,bordered,b$-d3d,NULL->d
broadcast,br$dk{st,broadcasted,br$d-k{-stId,NULL->Id
chip,JIp,chipped,JIpt,NULL->t
disarm,dIsQrm,disarmed,dIs-Qrmd,NULL->d
escalate,Esk@l1t,escalated,E-sk@-l1-tId,NULL->Id
flop,flQp,flopped,flQpt,NULL->t
heap,hip,heaped,hipt,NULL->t
muster,mVst3,mustered,mV-st3d,NULL->d
populate,pQpjUl1t,populated,pQ-pjU-l1-tId,NULL->Id
repress,rIprEs,repressed,rI-prEst,NULL->t
shower,S63,showered,S6-3d,NULL->d
swoop,swup,swooped,swupt,NULL->t
tour,t$r,toured,t$d,NULL->d
wince,wIns,winced,wInst,NULL->t
bypass,b2p{s,bypassed,b2-p{st,NULL->t
counsel,k6ns@l,counselled,k6n-s@ld,NULL->d
detach,dIt{J,detached,dI-t{Jt,NULL->t
impart,ImpQrt,imparted,Im-pQr-tId,NULL->Id
loathe,l5D,loathed,l5Dd,NULL->d
near,nir,neared,nird,NULL->d
overdo,5v@du,overdid,5-v@-dId,u->Id
peck,pEk,pecked,pEkt,NULL->t
pledge,plE_,pledged,plE_d,NULL->d
ripple,rIp@l,rippled,rI-p@ld,NULL->d
salvage,s{lvI_,salvaged,s{l-vI_d,NULL->d
adhere,@dhir,adhered,@d-hird,NULL->d
bank,b{Nk,banked,b{Nkt,NULL->t
blot,blQt,blotted,blQ-tId,NULL->Id
compile,k@mp2l,compiled,k@m-p2ld,NULL->d
crackle,kr{k@l,crackled,kr{-k@ld,NULL->d
deduce,dIdjus,deduced,dI-djust,NULL->t
falter,f$lt3,faltered,f$l-t3d,NULL->d
hobble,hQb@l,hobbled,hQ-b@ld,NULL->d
reconstruct,rik@nstrVkt,reconstructed,ri-k@n-strVk-tId,NULL->Id
scowl,sk6l,scowled,sk6ld,NULL->d
tax,t{ks,taxed,t{kst,NULL->t
allot,@lQt,allotted,@-lQ-tId,NULL->Id
cloud,kl6d,clouded,kl6-dId,NULL->Id
drum,drVm,drummed,drVmd,NULL->d
elevate,ElIv1t,elevated,E-lI-v1-tId,NULL->Id
gossip,gQsIp,gossipped,gQ-sIpt,NULL->t
refine,rIf2n,refined,rI-f2nd,NULL->d
string,strIN,strung,strVN,I->V
sympathize,sImp@T2z,sympathized,sIm-p@-T2zd,NULL->d
throb,TrQb,throbbed,TrQbd,NULL->d
topple,tQp@l,toppled,tQ-p@ld,NULL->d
activate,{ktIv1t,activated,{k-tI-v1-tId,NULL->Id
bewitch,bIwIJ,bewitched,bI-wIJt,NULL->t
colonize,kQl@n2z,colonized,kQ-l@-n2zd,NULL->d
contaminate,k@nt{mIn1t,contaminated,k@n-t{-mI-n1-tId,NULL->Id
dilute,d2ljut,diluted,d2-lju-tId,NULL->Id
disconcert,dIsk@ns3t,disconcerted,dIs-k@n-s3-tId,NULL->Id
fine,f2n,fined,f2nd,NULL->d
glaze,gl1z,glazed,gl1zd,NULL->d
incline,Inkl2n,inclined,In-kl2nd,NULL->d
intimidate,IntImId1t,intimidated,In-tI-mI-d1-tId,NULL->Id
nominate,nQmIn1t,nominated,nQ-mI-n1-tId,NULL->Id
reel,ril,reeled,rild,NULL->d
renounce,rIn6ns,renounced,rI-n6nst,NULL->t
screech,skriJ,screeched,skriJt,NULL->t
slither,slID3,slithered,slI-D3d,NULL->d
subscribe,s@bskr2b,subscribed,s@b-skr2bd,NULL->d
term,t3m,termed,t3md,NULL->d
content,k@ntEnt,contented,k@n-tEn-tId,NULL->Id
curb,k3b,curbed,k3bd,NULL->d
endeavour,IndEv3,endeavoured,In-dE-v3d,NULL->d
flank,fl{Nk,flanked,fl{Nkt,NULL->t
fuck,fVk,fucked,fVkt,NULL->t
lure,l$r,lured,l$d,NULL->d
nudge,nV_,nudged,nV_d,NULL->d
prolong,pr5lQN,prolonged,pr5-lQNd,NULL->d
scold,sk5ld,scolded,sk5l-dId,NULL->Id
disgust,dIsgVst,disgusted,dIs-gV-stId,NULL->Id
flinch,flInJ,flinched,flInJt,NULL->t
fortify,f$tIf2,fortified,f$-tI-f2d,NULL->d
knot,nQt,knotted,nQ-tId,NULL->Id
mask,m{sk,masked,m{skt,NULL->t
outweigh,6tw1,outweighed,6t-w1d,NULL->d
perfect,p@fEkt,perfected,p@-fEk-tId,NULL->Id
pool,pul,pooled,puld,NULL->d
star,stQrr,starred,stQrd,NULL->d
woo,wu,wooed,wud,NULL->d
bribe,br2b,bribed,br2bd,NULL->d
collide,k@l2d,collided,k@-l2-dId,NULL->Id
group,grup,grouped,grupt,NULL->t
impair,Imp1r,impaired,Im-p1rd,NULL->d
inhale,Inh1l,inhaled,In-h1ld,NULL->d
intercept,Int@sEpt,intercepted,In-t@-sEp-tId,NULL->Id
muddle,mVd@l,muddled,mV-d@ld,NULL->d
overturn,5v@t3n,overturned,5-v@-t3nd,NULL->d
patronize,p{tr@n2z,patronized,p{-tr@-n2zd,NULL->d
pattern,p{t@n,patterned,p{-t@nd,NULL->d
savour,s1v3,savoured,s1-v3d,NULL->d
starch,stQrJ,starched,stQrJt,NULL->t
suffice,s@f2s,sufficed,s@-f2st,NULL->t
tin,tIn,tinned,tInd,NULL->d
wobble,wQb@l,wobbled,wQ-b@ld,NULL->d
bellow,bEl5,bellowed,bE-l5d,NULL->d
flex,flEks,flexed,flEkst,NULL->t
fuse,fjuz,fused,fjuzd,NULL->d
impoverish,ImpQv@rIS,impoverished,Im-pQ-v@-rISt,NULL->t
nibble,nIb@l,nibbled,nI-b@ld,NULL->d
picture,pIkJ3,pictured,pIk-J3d,NULL->d
retaliate,rIt{lI1t,retaliated,rI-t{-lI-1-tId,NULL->Id
ally,@l2,allied,@-l2d,NULL->d
blacken,bl{k@n,blackened,bl{-k@nd,NULL->d
bristle,brIs@l,bristled,brI-s@ld,NULL->d
clutter,klVt3,cluttered,klV-t3d,NULL->d
coil,k4l,coiled,k4ld,NULL->d
detain,dIt1n,detained,dI-t1nd,NULL->d
dispel,dIspEl,dispelled,dI-spEld,NULL->d
gulp,gVlp,gulped,gVlpt,NULL->t
hatch,h{J,hatched,h{Jt,NULL->t
hitch,hIJ,hitched,hIJt,NULL->t
jostle,_Qs@l,jostled,_Q-s@ld,NULL->d
model,mQd@l,modelled,mQ-d@ld,NULL->d
pry,pr2,pried,pr2d,NULL->d
redeem,rIdim,redeemed,rI-dimd,NULL->d
refresh,rIfrES,refreshed,rI-frESt,NULL->t
thwart,Tw$t,thwarted,Tw$-tId,NULL->Id
anchor,{Nk3,anchored,{N-k3d,NULL->d
consent,k@nsEnt,consented,k@n-sEn-tId,NULL->Id
crave,kr1v,craved,kr1vd,NULL->d
elaborate,Il{b@r1t,elaborated,I-l{-b@-r1-tId,NULL->Id
forgo,f$g5,forwent,f$-wEnt,g5->wEnt
intrude,Intrud,intruded,In-tru-dId,NULL->Id
loll,lQl,lolled,lQld,NULL->d
modernize,mQd@n2z,modernized,mQ-d@-n2zd,NULL->d
profit,prQfIt,profited,prQ-fI-tId,NULL->Id
spawn,sp$n,spawned,sp$nd,NULL->d
totter,tQt3,tottered,tQ-t3d,NULL->d
churn,J3n,churned,J3nd,NULL->d
enact,In{kt,enacted,I-n{k-tId,NULL->Id
engrave,Ingr1v,engraved,In-gr1vd,NULL->d
exhilarate,IgzIl@r1t,exhilarated,Ig-zI-l@-r1-tId,NULL->Id
fret,frEt,fretted,frE-tId,NULL->Id
hamper,h{mp3,hampered,h{m-p3d,NULL->d
prowl,pr6l,prowled,pr6ld,NULL->d
ruffle,rVf@l,ruffled,rV-f@ld,NULL->d
squirm,skw3m,squirmed,skw3md,NULL->d
behold,bIh5ld,beheld,bI-hEld,5->E
bias,b2@s,biassed,b2-@st,NULL->t
burke,b3k,burked,b3kt,NULL->t
coax,k5ks,coaxed,k5kst,NULL->t
contest,k@ntEst,contested,k@n-tE-stId,NULL->Id
sneer,snir,sneered,snird,NULL->d
spy,sp2,spied,sp2d,NULL->d
staff,st{f,staffed,st{ft,NULL->t
stoke,st5k,stoked,st5kt,NULL->t
suffocate,sVf@k1t,suffocated,sV-f@-k1-tId,NULL->Id
terminate,t3mIn1t,terminated,t3-mI-n1-tId,NULL->Id
unsettle,VnsEt@l,unsettled,Vn-sE-t@ld,NULL->d
bestow,bIst5,bestowed,bI-st5d,NULL->d
brighten,br2t@n,brightened,br2-t@nd,NULL->d
conflict,k@nflIkt,conflicted,k@n-flIk-tId,NULL->Id
counteract,k6nt@r{kt,counteracted,k6n-t@-r{k-tId,NULL->Id
discount,dIsk6nt,discounted,dIs-k6n-tId,NULL->Id
outnumber,6tnVmb3,outnumbered,6t-nVm-b3d,NULL->d
scurry,skVrI,scurried,skV-rId,NULL->Id
thatch,T{J,thatched,T{Jt,NULL->t
chuck,JVk,chucked,JVkt,NULL->t
encompass,InkVmp@s,encompassed,In-kVm-p@st,NULL->t
grieve,griv,grieved,grivd,NULL->d
groom,grum,groomed,grumd,NULL->d
hinder,hInd3,hindered,hIn-d3d,NULL->d
prick,prIk,pricked,prIkt,NULL->t
rate,r1t,rated,r1-tId,NULL->Id
refute,rIfjut,refuted,rI-fju-tId,NULL->Id
seethe,siD,seethed,siDd,NULL->d
simulate,sImjUl1t,simulated,sI-mjU-l1-tId,NULL->Id
skirt,sk3t,skirted,sk3-tId,NULL->Id
snort,sn$t,snorted,sn$-tId,NULL->Id
squash,skwQS,squashed,skwQSt,NULL->t
time,t2m,timed,t2md,NULL->d
wane,w1n,waned,w1nd,NULL->d
bid,bId,bade,b{d,I->{
brief,brif,briefed,brift,NULL->t
clash,kl{S,clashed,kl{St,NULL->t
clip,klIp,clipped,klIpt,NULL->t
discredit,dIskrEdIt,discredited,dIs-krE-dI-tId,NULL->Id
dismay,dIsm1,dismayed,dIs-m1d,NULL->d
finger,fINg3,fingered,fIN-g3d,NULL->d
gratify,gr{tIf2,gratified,gr{-tI-f2d,NULL->d
invert,Inv3t,inverted,In-v3-tId,NULL->Id
mar,mQrr,marred,mQrd,NULL->d
marvel,mQrv@l,marvelled,mQr-v@ld,NULL->d
munch,mVnJ,munched,mVnJt,NULL->t
overflow,5v@fl5,overflowed,5-v@-fl5d,NULL->d
poach,p5J,poached,p5Jt,NULL->t
reclaim,rIkl1m,reclaimed,rI-kl1md,NULL->d
recount,rIk6nt,recounted,rI-k6n-tId,NULL->Id
seep,sip,seeped,sipt,NULL->t
style,st2l,styled,st2ld,NULL->d
tan,t{n,tanned,t{nd,NULL->d
wall,w$l,walled,w$ld,NULL->d
whimper,wImp3,whimpered,wIm-p3d,NULL->d
abide,@b2d,abided,@-b2-dId,NULL->Id
abound,@b6nd,abounded,@-b6n-dId,NULL->Id
discern,dIs3n,discerned,dI-s3nd,NULL->d
dodge,dQ_,dodged,dQ_d,NULL->d
equate,Ikw1t,equated,I-kw1-tId,NULL->Id
exemplify,IgzEmplIf2,exemplified,Ig-zEm-plI-f2d,NULL->d
fatten,f{t@n,fattened,f{-t@nd,NULL->d
fuel,fj$l,fuelled,fj$ld,NULL->d
immerse,Im3s,immersed,I-m3st,NULL->t
iron,2@n,ironed,2-@nd,NULL->d
lunch,lVnJ,lunched,lVnJt,NULL->t
mow,m5,mowed,m5d,NULL->d
unpack,Vnp{k,unpacked,Vn-p{kt,NULL->t
amend,@mEnd,amended,@-mEn-dId,NULL->Id
bundle,bVnd@l,bundled,bVn-d@ld,NULL->d
envelop,InvEl@p,enveloped,In-vE-l@pt,NULL->t
grate,gr1t,grated,gr1-tId,NULL->Id
halve,h{v,halved,h{vd,NULL->d
mash,m{S,mashed,m{St,NULL->t
obliterate,@blIt@r1t,obliterated,@-blI-t@-r1-tId,NULL->Id
pounce,p6ns,pounced,p6nst,NULL->t
putt,pVt,putted,pV-tId,NULL->Id
scent,sEnt,scented,sEn-tId,NULL->Id
scour,sk63,scoured,sk6-3d,NULL->d
ship,SIp,shipped,SIpt,NULL->t
tower,t63,towered,t6-3d,NULL->d
alleviate,@livI1t,alleviated,@-li-vI-1-tId,NULL->Id
defer,dIf3r,deferred,dI-f3d,NULL->d
deflect,dIflEkt,deflected,dI-flEk-tId,NULL->Id
dissipate,dIsIp1t,dissipated,dI-sI-p1-tId,NULL->Id
fluctuate,flVkJU1t,fluctuated,flVk-JU-1-tId,NULL->Id
glint,glInt,glinted,glIn-tId,NULL->Id
jog,_Qg,jogged,_Qgd,NULL->d
lace,l1s,laced,l1st,NULL->t
mimic,mImIk,mimicked,mI-mIkt,NULL->t
overthrow,5v@Tr5,overthrew,5-v@-Tru,5->u
plaster,pl{st3,plastered,pl{-st3d,NULL->d
preclude,prIklud,precluded,prI-klu-dId,NULL->Id
reside,rIz2d,resided,rI-z2-dId,NULL->Id
trudge,trV_,trudged,trV_d,NULL->d
code,k5d,coded,k5-dId,NULL->Id
dab,d{b,dabbed,d{bd,NULL->d
fake,f1k,faked,f1kt,NULL->t
fragment,fr{gmEnt,fragmented,fr{g-mEn-tId,NULL->Id
interact,Int@r{kt,interacted,In-t@-r{k-tId,NULL->Id
patch,p{J,patched,p{Jt,NULL->t
rationalize,r{S@n@l2z,rationalized,r{-S@n-@-l2zd,NULL->d
relinquish,rIlINkwIS,relinquished,rI-lIN-kwISt,NULL->t
stabilize,st1b@l2z,stabilized,st1-b@-l2zd,NULL->d
wax,w{ks,waxed,w{kst,NULL->t
weather,wED3,weathered,wE-D3d,NULL->d
weed,wid,weeded,wi-dId,NULL->Id
bare,b1r,bared,b1rd,NULL->d
donate,d5n1t,donated,d5-n1-tId,NULL->Id
excavate,Eksk@v1t,excavated,Ek-sk@-v1-tId,NULL->Id
gild,gIld,gilded,gIl-dId,NULL->Id
herd,h3d,herded,h3-dId,NULL->Id
impede,Impid,impeded,Im-pi-dId,NULL->Id
license,l2s@ns,licensed,l2-s@nst,NULL->t
motion,m5S@n,motioned,m5-S@nd,NULL->d
ordain,$d1n,ordained,$-d1nd,NULL->d
tame,t1m,tamed,t1md,NULL->d
thread,TrEd,threaded,TrE-dId,NULL->Id
wet,wEt,wetted,wE-tId,NULL->Id
wire,w23,wired,w2-3d,NULL->d
clamp,kl{mp,clamped,kl{mpt,NULL->t
crease,kris,creased,krist,NULL->t
document,dQkjUmEnt,documented,dQ-kjU-mEn-tId,NULL->Id
encircle,Ins3k@l,encircled,In-s3-k@ld,NULL->d
erase,Ir1z,erased,I-r1zd,NULL->d
exasperate,Igz{sp@r1t,exasperated,Ig-z{-sp@-r1-tId,NULL->Id
gnaw,n$,gnawed,n$d,NULL->d
quarter,kw$t3,quartered,kw$-t3d,NULL->d
rearrange,ri@r1n_,rearranged,ri-@-r1n_d,NULL->d
repel,rIpEl,repelled,rI-pEld,NULL->d
root,rut,rooted,ru-tId,NULL->Id
rumble,rVmb@l,rumbled,rVm-b@ld,NULL->d
rustle,rVs@l,rustled,rV-s@ld,NULL->d
slay,sl1,slew,slu,1->u
squeal,skwil,squealed,skwild,NULL->d
streak,strik,streaked,strikt,NULL->t
stylize,st2l2z,stylized,st2-l2zd,NULL->d
vow,v6,vowed,v6d,NULL->d
commend,k@mEnd,commended,k@-mEn-dId,NULL->Id
deafen,dEf@n,deafened,dE-f@nd,NULL->d
elude,Ilud,eluded,I-lu-dId,NULL->Id
emulate,EmjUl1t,emulated,E-mjU-l1-tId,NULL->Id
infer,Inf3r,inferred,In-f3d,NULL->d
lighten,l2t@n,lightened,l2-t@nd,NULL->d
lumber,lVmb3,lumbered,lVm-b3d,NULL->d
patrol,p@tr5l,patrolled,p@-tr5ld,NULL->d
reap,rip,reaped,ript,NULL->t
shroud,Sr6d,shrouded,Sr6-dId,NULL->Id
sparkle,spQrk@l,sparkled,spQr-k@ld,NULL->d
tailor,t1l3,tailored,t1-l3d,NULL->d
temper,tEmp3,tempered,tEm-p3d,NULL->d
aggravate,{gr@v1t,aggravated,{-gr@-v1-tId,NULL->Id
entrust,IntrVst,entrusted,In-trV-stId,NULL->Id
expire,Iksp23,expired,Ik-sp2-3d,NULL->d
fertilize,f3t@l2z,fertilized,f3-t@-l2zd,NULL->d
grapple,gr{p@l,grappled,gr{-p@ld,NULL->d
outgrow,6tgr5,outgrew,6t-gru,5->u
parade,p@r1d,paraded,p@-r1-dId,NULL->Id
plague,pl1g,plagued,pl1gd,NULL->d
ration,r{S@n,rationed,r{-S@nd,NULL->d
stitch,stIJ,stitched,stIJt,NULL->t
tail,t1l,tailed,t1ld,NULL->d
tickle,tIk@l,tickled,tI-k@ld,NULL->d
treasure,trEZ3,treasured,trE-Z3d,NULL->d
wage,w1_,waged,w1_d,NULL->d
displease,dIspliz,displeased,dIs-plizd,NULL->d
dog,dQg,dogged,dQgd,NULL->d
drench,drEnJ,drenched,drEnJt,NULL->t
flavour,fl1v3,flavoured,fl1-v3d,NULL->d
pervade,p@v1d,pervaded,p@-v1-dId,NULL->Id
purge,p3_,purged,p3_d,NULL->d
shelve,SElv,shelved,SElvd,NULL->d
shrivel,SrIv@l,shrivelled,SrI-v@ld,NULL->d
adorn,@d$n,adorned,@-d$nd,NULL->d
assort,@s$t,assorted,@-s$-tId,NULL->Id
bawl,b$l,bawled,b$ld,NULL->d
bleach,bliJ,bleached,bliJt,NULL->t
buckle,bVk@l,buckled,bV-k@ld,NULL->d
charm,JQrm,charmed,JQrmd,NULL->d
cleave,kliv,cleaved,klivd,NULL->d
elicit,IlIsIt,elicited,I-lI-sI-tId,NULL->Id
hoist,h4st,hoisted,h4-stId,NULL->Id
itch,IJ,itched,IJt,NULL->t
precipitate,prIsIpIt1t,precipitated,prI-sI-pI-t1-tId,NULL->Id
rap,r{p,rapped,r{pt,NULL->t
recreate,rikri1t,recreated,ri-kri-1-tId,NULL->Id
tense,tEns,tensed,tEnst,NULL->t
tiptoe,tIpt5,tiptoed,tIp-t5d,NULL->d
update,Vpd1t,updated,Vp-d1-tId,NULL->Id
amplify,{mplIf2,amplified,{m-plI-f2d,NULL->d
bicycle,b2sIk@l,bicycled,b2-sI-k@ld,NULL->d
conspire,k@nsp23,conspired,k@n-sp2-3d,NULL->d
lapse,l{ps,lapsed,l{pst,NULL->t
propel,pr@pEl,propelled,pr@-pEld,NULL->d
refill,rifIl,refilled,ri-fIld,NULL->d
snow,sn5,snowed,sn5d,NULL->d
squeak,skwik,squeaked,skwikt,NULL->t
stew,stju,stewed,stjud,NULL->d
swamp,swQmp,swamped,swQmpt,NULL->t
converse,k@nv3s,conversed,k@n-v3st,NULL->t
duplicate,djuplIk1t,duplicated,dju-plI-k1-tId,NULL->Id
expend,IkspEnd,expended,Ik-spEn-dId,NULL->Id
infiltrate,InfIltr1t,infiltrated,In-fIl-tr1-tId,NULL->Id
interrogate,IntEr5g1t,interrogated,In-tE-r5-g1-tId,NULL->Id
lobby,lQbI,lobbied,lQ-bId,NULL->Id
lord,l$d,lord,l$d,NULL->d
necessitate,nIsEsIt1t,necessitated,nI-sE-sI-t1-tId,NULL->Id
pipe,p2p,piped,p2pt,NULL->t
riot,r2@t,rioted,r2-@-tId,NULL->Id
saturate,s{J@r1t,saturated,s{-J@-r1-tId,NULL->Id
scar,skQrr,scarred,skQrd,NULL->d
site,s2t,sited,s2-tId,NULL->Id
standardize,st{nd@d2z,standardized,st{n-d@-d2zd,NULL->d
swerve,sw3v,swerved,sw3vd,NULL->d
twinkle,twINk@l,twinkled,twIN-k@ld,NULL->d
accrue,@kru,accrued,@-krud,NULL->d
ascertain,{s@t1n,ascertained,{-s@-t1nd,NULL->d
baptize,b{pt2z,baptized,b{p-t2zd,NULL->d
billow,bIl5,billowed,bI-l5d,NULL->d
christen,krIs@n,christened,krI-s@nd,NULL->d
clog,klQg,clogged,klQgd,NULL->d
collaborate,k@l{b@r1t,collaborated,k@-l{-b@-r1-tId,NULL->Id
commence,k@mEns,commenced,k@-mEnst,NULL->t
crunch,krVnJ,crunched,krVnJt,NULL->t
fidget,fI_It,fidgeted,fI-_I-tId,NULL->Id
infuriate,Infj$rI1t,infuriated,In-fj$-rI-1-tId,NULL->Id
nip,nIp,nipped,nIpt,NULL->t
overhang,5v@h{N,overhung,5-v@-hVN,{->V
quicken,kwIk@n,quickened,kwI-k@nd,NULL->d
reconsider,rik@nsId3,reconsidered,ri-k@n-sI-d3d,NULL->d
rig,rIg,rigged,rIgd,NULL->d
stall,st$l,stalled,st$ld,NULL->d
stink,stINk,stunk,stVNk,I->{
stink,stINk,stank,st{Nk,I->{
subtract,s@btr{kt,subtracted,s@b-tr{k-tId,NULL->Id
unnerve,Vnn3v,unnerved,Vn-n3vd,NULL->d
accentuate,{ksEntjU1t,accentuated,{k-sEn-tjU-1-tId,NULL->Id
chair,J1r,chaired,J1rd,NULL->d
condense,k@ndEns,condensed,k@n-dEnst,NULL->t
crystallize,krIst@l2z,crystallized,krI-st@-l2zd,NULL->d
cup,kVp,cupped,kVpt,NULL->t
decree,dIkri,decreed,dI-krid,NULL->d
deplete,dIplit,depleted,dI-pli-tId,NULL->Id
dissatisfy,dIss{tIsf2,dissatisfied,dIs-s{-tIs-f2d,NULL->d
hump,hVmp,humped,hVmpt,NULL->t
institutionalize,InstItjuS@n@l2z,institutionalized,In-stI-tju-S@-n@l-2zd,NULL->d
jab,_{b,jabbed,_{bd,NULL->d
paddle,p{d@l,paddled,p{-d@ld,NULL->d
rummage,rVmI_,rummaged,rV-mI_d,NULL->d
salt,s$lt,salted,s$l-tId,NULL->Id
scorn,sk$n,scorned,sk$nd,NULL->d
shear,Sir,sheared,Sird,NULL->d
shell,SEl,shelled,SEld,NULL->d
sift,sIft,sifted,sIf-tId,NULL->Id
slacken,sl{k@n,slackened,sl{-k@nd,NULL->d
appease,@piz,appeased,@-pizd,NULL->d
babble,b{b@l,babbled,b{-b@ld,NULL->d
constrain,k@nstr1n,constrained,k@n-str1nd,NULL->d
cream,krim,creamed,krimd,NULL->d
daunt,d$nt,daunted,d$n-tId,NULL->Id
despair,dIsp1r,despaired,dI-sp1rd,NULL->d
domesticate,d5mEstIk1t,domesticated,d5-mE-stI-k1-tId,NULL->Id
insure,InS$r,insured,In-S$d,NULL->d
lap,l{p,lapped,l{pt,NULL->t
massage,m{s{Z,massaged,m{-s{Zd,NULL->d
pinpoint,pInp4nt,pinpointed,pIn-p4n-tId,NULL->Id
ply,pl2,plied,pl2d,NULL->d
retort,rIt$t,retorted,rI-t$-tId,NULL->Id
sulk,sVlk,sulked,sVlkt,NULL->t
surface,s3fIs,surfaced,s3-fIst,NULL->t
vault,v$lt,vaulted,v$l-tId,NULL->Id
anoint,@n4nt,anointed,@-n4n-tId,NULL->Id
bask,b{sk,basked,b{skt,NULL->t
blackmail,bl{km1l,blackmailed,bl{k-m1ld,NULL->d
exacerbate,Igz{s@b1t,exacerbated,Ig-z{-s@-b1-tId,NULL->Id
grimace,grIm1s,grimaced,grI-m1st,NULL->t
imprint,ImprInt,imprinted,Im-prIn-tId,NULL->Id
interlock,Int@lQk,interlocked,In-t@-lQkt,NULL->t
oil,4l,oiled,4ld,NULL->d
overload,5v@l5d,overloaded,5-v@-l5-dId,NULL->Id
punctuate,pVNkJU1t,punctuated,pVNk-JU-1-tId,NULL->Id
recline,rIkl2n,reclined,rI-kl2nd,NULL->d
scrutinize,skrutIn2z,scrutinized,skru-tI-n2zd,NULL->d
snore,sn$r,snored,sn$d,NULL->d
wag,w{g,wagged,w{gd,NULL->d
condone,k@nd5n,condoned,k@n-d5nd,NULL->d
dramatize,dr{m@t2z,dramatized,dr{-m@-t2zd,NULL->d
feign,f1n,feigned,f1nd,NULL->d
fondle,fQnd@l,fondled,fQn-d@ld,NULL->d
